Trial ID,Title,Condition,Intervention,Study Type,Phase,Summary,Eligibility,Enrollment
NCT06051331,The Effect of Simulation-Based Breast Health Education on Breast Cancer Awareness and Breast Self-Examination Practices,"Breast Cancer, Health Knowledge, Attitudes, Practice",simulation-based breast health education,INTERVENTIONAL,NA,This study aimed to evaluate the effect of simulation-based breast health education on breast cancer awareness and breast self-examination practices of Afghan refugee women. The study hypothesized that simulation-based breast health education would have an effect on breast cancer awareness and breast self-examination practices scores among Afghan refugee women.,"Inclusion Criteria:

* 20-65 years,
* must be able to speak Turkish or Dari.

Exclusion Criteria:

* breast cancer",64
NCT05965531,Treating Locally Advanced Rectal Cancer With TAS-102 Chemotherapy Plus Neoadjuvant Radiotherapy,Rectal Cancer,"Trifluridine/Tipiracil, intensity-modulated radiotherapy",INTERVENTIONAL,PHASE2,"The goal of this Phase 2 trial is to evaluate a neoadjuvant treatment mode for locally advanced rectal cancer (LARC), consisting of radiotherapy and concurrent Trifluridine/Tipiracil (TAS-102). The main questions it aims to answer are: (i) whether TAS-102 is effective in treating LARC, when combined with radiotherapy; (ii) whether TAS-102 is safe in combination with radiotherapy. Participants will receive one cycle of TAS-102 chemotherapy and neoadjuvant radiotherapy based on intensity-modulated technique. Then the ones with a possibility of R0 resection will receive radical surgery followed by 6 cycles of adjuvant XELOX (capecitabine plus oxaliplatin) chemotherapy.","Inclusion Criteria:

* Pathologically diagnosed rectal adenocarcinoma via biopsy
* Pretreatment clinical TNM stage as T3-4N0M0 or T1-4N1-2M0 (UICC TNM staging classification, version 8)
* Tumor with proficient DNA mismatch repair confirmed by immunohistochemical analysis
* Age between 18 and 70 years old
* Karnofsky performance score ≥ 70
* Distance from tumor lower margin to anal verge \< 12 cm

Exclusion Criteria:

* Inguinal lymph node metastasis
* Multiple primary colorectal cancer
* Complete obstruction or perforation
* Uncontrolled tuberculosis, AIDS or mental diseases
* Severe cardiac, renal, hepatic or hematopoietic dysfunctions unsuitable for chemotherapy or radiotherapy
* Prior history of other malignancies with 5 years, except cured cervical carcinoma in situ and skin basal cell carcinoma
* Prior history of rectal surgery, pelvic radiotherapy or chemotherapy
* Pregnant or lactating women
* Other situations for which the investigators consider a patient inappropriate to participate",65
NCT04513431,A Clinical Research of CAR T Cells Targeting CEA Positive Colorectal Cancer (CRC),"Stage III Colorectal Cancer, Colorectal Cancer Liver Metastasis",Anti-CEA-CAR T,INTERVENTIONAL,EARLY_PHASE1,The main purpose of this research is to verify the safety of CEA targeted chimeric antigen receptor T cells and to determine the proper dosage of CAR T cells infused.,"Inclusion Criteria:

1. CEA positive T4/N2 high-risk stage-Ⅲ colorectal cancer after surgery or patients with colorectal cancer liver metastasis after R0 surgery;
2. Patients whose serum CEA ≥11 ng/mL;
3. Life expectancy ≥ 3 months;
4. PS score 0-2, KPS score ≥60;
5. \>3 CTC/7.5 mL blood sample;
6. Patients who plan to use XELOX chemotherapy after surgery;
7. Patients must have adequate organ function , such as NYHA heart function classification grade III or higher, no severe anemia, hypoxia; liver function: total bilirubin ≤ 1.5 × ULN (total bilirubin ≤ 3 × ULN when liver metastasis), ALT≤2.5×ULN, AST≤2.5×ULN (ALT or/and AST≤5×ULN when liver metastasis); renal function: blood creatinine ≤1.5 × ULN and creatinine clearance ≥50 mL/min, only when blood creatinine ≤ Calculate the creatinine clearance rate when 1.5 × ULN;
8. Sufficient peripheral blood can be obtained through peripheral veins without contraindications to apheresis;
9. Patients of childbearing age have no birth plans and take effective contraceptive measures during the study period and within 1 year after the study.

Exclusion Criteria:

1. Patients who have a history of severe central nervous system disease;
2. Other organ metastases except liver;
3. Patients who have non malignant diseases, including autoimmune diseases, primary immunodeficiency diseases or obstructive or restrictive respiratory diseases;
4. Patients received car-t or other gene modified T cell therapy previously;
5. Patients who plan to use other targeted anti-tumor drugs;
6. Patients who participated in other clinical studies within 30 days before screening or planned to participate in other clinical studies during the study period;
7. Patients who have syphilis or HIV / HBV / HCV / HPV / EBV / CMV infection ; HBV-DNA copy number ≥ 1 × 10 \^ 5 copies / ml is required for HBV seropositive patients;
8. Patients who have uncontrollable systemic infectious diseases;
9. Patients who have multiple malignant tumor;
10. Patients who received or may need Chinese herbal medicine, systemic glucocorticoid or other immunosuppressants within 2 weeks before enrollment;
11. Patient who are pregnancy and lactating;
12. Patients who have severe gastroduodenal ulcer, ulcerative colitis and other intestinal inflammation;",18
NCT05770531,Circulating Tumor DNA to Guide Changes in Standard of Care Chemotherapy,"Metastatic HER2-Negative Breast Carcinoma, Metastatic Triple-Negative Breast Carcinoma","Biospecimen Collection, Computed Tomography, Magnetic Resonance Imaging, Biospecimen Collection, Sacituzumab Govitecan",INTERVENTIONAL,PHASE2,"This phase II trial tests how well evaluating circulating tumor deoxyribonucleic acid (ctDNA) works to guide therapy-change decisions in treating patients with triple-negative breast cancer (TNBC) that has spread from where it first started (primary site) to other places in the body (metastatic). This study wants to learn if small pieces of DNA associated with a tumor (called circulating tumor DNA, or ctDNA) can be detected in investigational blood tests during the course of standard chemotherapy treatment for breast cancer, and whether information from such investigational ctDNA blood testing could possibly be used as an early indication of chemotherapy treatment failure. It is hoped that additional information from investigational blood testing for ctDNA could help doctors to switch more quickly from a standard chemotherapy treatment that typically has significant side effects and which may not be working, to a different standard treatment regimen against TNBC, called sacituzumab govitecan. Sacituzumab govitecan is a monoclonal antibody, called hRS7, linked to a chemotherapy drug, called irinotecan. hRS7 is a form of targeted therapy because it attaches to specific molecules (receptors) on the surface of cancer cells, known as TROP2 receptors, and delivers irinotecan to kill them. Studying ctDNA may assist doctors to change therapy earlier if needed, and may improve health outcomes in patients with metastatic TNBC.","Inclusion Criteria:

* Clinical stage IV (metastatic) estrogen receptor (ER), PR, HER2 negative invasive mammary carcinoma, previously documented by histological analysis and that meets the following criteria:

  * HER2 negativity is defined as any of the following by local laboratory assessment:

    * In-situ hybridization (ISH) non-amplified (ratio of HER2 to CEP17 \< 2.0 or
    * Single probe average HER2 gene copy number \< 4 signals/cell), or
    * Immunohistochemistry (IHC) 0 or IHC 1+ (if more than one test result is available and not all results meet the inclusion criterion definition, all results should be discussed with the sponsor-investigator to establish eligibility of the patient)
  * ER and PR negativity are defined as =\< 10% of cells expressing hormonal receptors via IHC analysis
* PD-L1 negative (combined positive score \[CPS\] \< 10) or otherwise not appropriate for checkpoint inhibitors
* Patients must have measurable disease according to the standard RECIST version 1.1

  \* NOTE: CT scans or MRIs used to assess the measurable disease must have been completed with 28 days prior to the study drug initiation
* Patients must be age \>= 18 years; both male and female are eligible
* Patients must exhibit an Eastern Cooperative Oncology Group (ECOG) performance status of =\< 2
* Patients must have the ability to understand and the willingness to sign a written informed consent prior to registration on study
* No prior chemotherapy regimens for metastatic disease
* Absolute neutrophil count (ANC) \>= 1000/mm\^3 (obtained less than 28 days from initiation of study drug)
* Platelet count \>= 100,000/mm\^3 (obtained less than 28 days from initiation of study drug)
* Bilirubin, serum glutamic oxaloacetic transaminase (SGOT), serum glutatmic pyruvic transaminase (SGPT), alkaline phosphatase =\< 4x upper limits of normal if no liver metastases present
* Serum total bilirubin must be \< 3x upper limits of normal for patients with Gilbert disease
* Total bilirubin, SGOT, SGPT =\< 6x upper limits of normal if liver metastases present (obtained less than 28 days from initiation of study drug)
* For patients who are not postmenopausal (women) or surgically sterile (absence of ovaries and/or uterus or vasectomy), agreement to remain abstinent or to use two adequate methods of contraception (e.g., condoms, diaphragm, vasectomy/vasectomized partner, tubal ligation), during the treatment period and for at least 30 days after the last dose of study treatment. Hormone based oral contraceptives are not allowed on study. Postmenopausal is defined as:

  * Age \>= 55 years
  * Age =\< 55 years and amenorrheic for 12 months in the absence of chemotherapy, tamoxifen, toremifene, or ovarian suppression; or follicle stimulating hormone and estradiol in the postmenopausal range

Exclusion Criteria:

* Leptomeningeal disease
* Uncontrolled tumor-related pain: patients requiring narcotic pain medication must be on a stable regimen at registration. Symptomatic lesions (e.g., bone metastases or metastases causing nerve impingement) amenable to palliative radiotherapy should be treated prior to randomization. Patients should be recovered from the effects of radiation. There is no required minimum recovery period. Asymptomatic metastatic lesions whose further growth would likely cause functional deficits or intractable pain (e.g., epidural metastasis that is not presently associated with spinal cord compression) should be considered for loco-regional therapy if appropriate prior to randomization
* Uncontrolled hypercalcemia (\> 1.5 mmol/L ionized calcium or calcium \> 12 mg/dL or corrected serum calcium \> upper limit of normal \[ULN\]) or symptomatic hypercalcemia requiring continued use of bisphosphonate therapy
* Malignancies other than TNBC within 5 years prior to randomization, with the exception of those with a negligible risk of metastasis or death and treated with expected curative outcome (such as adequately treated carcinoma in situ of the cervix or basal or squamous cell skin cancer)
* Concurrent anti-cancer therapy (chemotherapy, radiation therapy, surgery, immunotherapy, biological therapy) other than the ones specified in the protocol
* Women only: pregnancy or lactation
* Evidence of significant uncontrolled concomitant disease that in the opinion of the investigator could affect compliance with the protocol or interpretation of results, including significant liver disease (such as cirrhosis, uncontrolled major seizure disorder, or superior vena cava syndrome)
* Significant cardiovascular disease, such as New York Heart Association (NYHA) cardiac disease (class II or greater), myocardial infarction within 3 months prior to randomization, unstable arrhythmias, or unstable angina. Patients with a known left ventricular ejection fraction (LVEF) \< 35% will be excluded. Patients with known coronary artery disease or congestive heart failure not meeting the above criteria must be on a stable medical regimen that is optimized in the opinion of the treating physician, in consultation with a cardiologist if appropriate
* Major surgical procedure within 4 weeks prior to randomization or anticipation of the need for a major surgical procedure during the course of the study other than for diagnosis. Placement of central venous access catheter(s) (e.g., port or similar) is not considered a major surgical procedure and is therefore permitted
* Psychiatric illness/social situations that would compromise patient safety or limit compliance with study requirements",120
NCT01307631,Akt Inhibitor MK2206 in Treating Patients With Recurrent or Advanced Endometrial Cancer,"Endometrial Adenocarcinoma, Endometrial Adenosquamous Carcinoma, Endometrial Clear Cell Adenocarcinoma, Endometrial Serous Adenocarcinoma, Recurrent Uterine Corpus Carcinoma","Akt Inhibitor MK2206, Laboratory Biomarker Analysis",INTERVENTIONAL,PHASE2,This phase II trial studies how well Akt inhibitor MK2206 works in treating patients with recurrent or advanced endometrial cancer. Akt inhibitor MK2206 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.,"Inclusion Criteria:

* Participants must have histologically confirmed recurrent or persistent high grade endometrial carcinoma with a serous component, which is refractory to curative therapy or established treatments; histologic confirmation of the original primary tumor is required
* All patients must have measurable disease as defined by RECIST 1.1; measurable disease is defined as at least one lesion that can be accurately measured in at least one dimension (longest diameter to be recorded); each lesion must be \>= 10 mm when measured by computed tomography (CT), magnetic resonance imaging (MRI) or caliper measurement by clinical exam; or \>= 20 mm when measured by chest x-ray; lymph nodes must be \>= 15 mm in short axis when measured by CT or MRI
* Patients must have had one prior chemotherapeutic regimen for management of endometrial carcinoma initial treatment may include chemotherapy, chemotherapy and radiation therapy, and/or consolidation/maintenance therapy; chemotherapy administered in conjunction with primary radiation as a radio-sensitizer WILL be counted as a systemic chemotherapy regimen
* Patients are allowed to receive, but are not required to receive, one additional prior treatment regimen (including a single chemotherapeutic, a combination of chemotherapeutics, or an anti-angiogenic drug such as bevacizumab) for management of their recurrent or persistent disease; prior hormonal therapy is allowed and does not count towards this prior regimen
* Patients must have NOT received any class of drugs targeted to the PI3K pathway (such has PI3K inhibitors or mTOR inhibitors) for management of recurrent or persistent disease
* Life expectancy of greater than 6 months
* Eastern Cooperative Oncology Group (ECOG) performance status =\< 2 (Karnofsky \>= 50%)
* Absolute neutrophil count \>= 1,500/mcL
* Platelets \>= 100,000/mcL
* Total bilirubin within normal institutional limits
* Aspartate aminotransferase (AST) (serum glutamic oxaloacetic transaminase \[SGOT\])/alanine aminotransferase (ALT) (serum glutamic pyruvate transaminase \[SGPT\]) =\< 2.5 x institutional upper limit of normal
* Creatinine within normal institutional limits or creatinine clearance \>= 60 mL/min/1.73 m\^2 for subjects with creatinine levels about institutional normal
* Hemoglobin A1c (HgA1c) =\< 7.5% and fasting blood glucose less than 130mg/dL
* Availability of a formalin fixed paraffin embedded (FFPE) block of cancer tissue from the original or most recent biopsy for mutational analysis
* Women of childbearing potential must use two forms of contraception (hormonal or barrier method of birth control; abstinence) prior to study entry and for the duration of study participation; should a patient become pregnant or suspect she is pregnant while she is participating in this study, she should inform the treating physician immediately
* Toxicities of prior therapy (excepting alopecia) should be resolved to =\< grade 1 per the revised NCI Common Terminology Criteria for Adverse Events (CTCAE) version 4
* MK-2206 is an oral medication; patients must be able to tolerate oral medications and not have gastrointestinal illnesses that would preclude absorption of MK-2206
* Ability to understand and the willingness to sign a written informed consent document

Exclusion Criteria:

* Participants who have had chemotherapy or radiotherapy within 3 weeks (6 weeks for nitrosoureas or mitomycin C) prior to entering the study or those who have not recovered to =\< grade 1 (excepting alopecia) from adverse events (as per the revised NCI CTCAE version 4) due to agents administered more than 3 weeks earlier
* Participants may not be receiving any other study agents
* Participants with known brain metastases should be excluded from this clinical trial because of their poor prognosis and because they often develop progressive neurologic dysfunction that would confound the evaluation of neurologic and other adverse events; should patients develop brain metastases while on trial and have clinical benefit from MK-2206 otherwise, patients may continue on drug after clinical management of the brain metastases with the permission of the principal investigator. MK-2206 should be restarted between 3 and 6 weeks after the last radiation treatment
* History of allergic reactions attributed to compounds of similar chemical or biologic composition to MK-2206
* Patients requiring any medications or substances that are strong inhibitors or inducers of CYP 450 3A4 are ineligible
* Preclinical studies demonstrated the potential of MK-2206 for induction of hyperglycemia in all preclinical species tested; patients with diabetes or in risk for hyperglycemia should not be excluded from trials with MK-2206, but the hyperglycemia should be well controlled on oral agents before the patient enters the trial. HgbA1c \> 7.5% or fasting glucose greater than 130mg/dL will exclude patients from entry on study; patients requiring insulin for control of their hyperglycemia are excluded from entry on this study
* Preclinical studies indicated transient changes in QTc interval during MK-2206 treatment; prolongation of QTc interval is potentially a safety concern while on MK-2206 therapy; cardiovascular: baseline QTcF \> 450 msec (male) or QTcF \> 470 msec (female) will exclude patients from entry on study
* Due to a high incidence of bradycardia by Holter monitor, preexisting bundle branch block or baseline bradycardia due to cardiac disease will exclude patients from treatment with MK-2206
* Uncontrolled intercurrent illness including, but not limited to ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia or psychiatric illness/social situations that would limit compliance with study requirements
* Pregnant women are excluded from this study; mother with MK-2206 breastfeeding should be discontinued if the mother is treated with MK-2206; these potential risks may also apply to other agents used in this study
* MK-2206 is an oral medication; patients who are unable to tolerate oral medication are not eligible; patients with signs and symptoms of bowel obstruction or with uncontrolled, persistent diarrhea will be excluded
* Individuals with a history of a different malignancy are ineligible except for the following circumstances. Individuals with a history of other malignancies are eligible if they have been disease-free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy. Individuals with the following cancers are eligible if diagnosed and treated within the past 5 years: breast cancer in situ, cervical cancer in situ, and basal cell or squamous cell carcinoma of the skin
* Human immunodeficiency virus (HIV)-positive individuals on combination antiretroviral therapy are ineligible
* Patients may not use natural herbal products or other ""folk remedies"" while participating in this study",37
NCT00003731,Temozolomide in Treating Patients With Recurrent Oligodendroglial Tumors,Brain and Central Nervous System Tumors,temozolomide,INTERVENTIONAL,PHASE2,"RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase II trial to study the effectiveness of temozolomide in treating patients with recurrent oligodendroglial tumors.","DISEASE CHARACTERISTICS: Histologically proven oligodendroglioma or oligoastrocytoma with at least 25% oligodendroglial elements Recurrent or progressive disease following radiotherapy At least 3 months since prior radiotherapy Measurable disease by MRI or CT scan Lesion must have a diameter of at least 1 cm No progressive neurological deficits from the present recurrence No new neurological deficits interfering with daily activities No tumor causing midline shift or brain stem compression due to which a rapid deterioration is to be expected in case of no response No signs of increased intracranial pressure No extracranial disease

PATIENT CHARACTERISTICS: Age: 18 to 70 Performance status: WHO 0-2 Life expectancy: At least 3 months Hematopoietic: Neutrophil count at least 1,500/mm3 Platelet count at least 100,000/mm3 Hepatic: Bilirubin no greater than 1.25 times upper limit of normal (ULN) AST/ALT no greater than 2 times ULN Alkaline phosphatase no greater than 2 times ULN Renal: Creatinine clearance at least 60 mL/min Creatinine no greater than 1.25 times ULN Neurologic: See Disease Characteristics Other: Not pregnant or nursing Fertile patients must use effective contraception No other malignant or nonmalignant diseases interfering with follow-up No psychological, familial, sociological, or geographical condition potentially hampering compliance with the study and follow-up

PRIOR CONCURRENT THERAPY: Biologic therapy: Not specified Chemotherapy: No prior chemotherapy Endocrine therapy: Not specified Radiotherapy: See Disease Characteristics Surgery: Not specified Other: No other concurrent investigational drugs No other concurrent antitumor agents",39
NCT01015131,18F-FLT-PET in Breast Cancer (MK-0000-139),Breast Cancer,18F-FLT-PET/CT Imaging,INTERVENTIONAL,PHASE2,"This study correlated changes from baseline in Ki-67, an immunohistochemical marker of cell proliferation, with changes from baseline in tumor uptake of 3'-deoxy-3'\[18F\]-fluorothymidine (18F-FLT) following the first cycle of treatment with standard of care neo-adjuvant therapy in participants with breast cancer.","Inclusion Criteria:

* Has newly-diagnosed stage IIB/IIIA/IIIB locally advanced breast cancer
* Is eligible for pre-operative (neo-adjuvant) chemotherapy

Exclusion Criteria:

* Has a contraindication to magnetic resonance imaging (MRI)
* Any condition that would limit ability to undergo MRI or PET scans
* Is a nursing mother
* Has moderate to end-stage renal disease and is not on dialysis or has renal failure on chronic dialysis",46
NCT00020631,Pirfenidone in Treating Patients With Fibrosis Caused by Radiation Therapy for Cancer,Radiation Fibrosis,pirfenidone,INTERVENTIONAL,NA,"RATIONALE: Pirfenidone may prevent or lessen fibrosis caused by radiation therapy.

PURPOSE: Pilot trial to study the effectiveness of pirfenidone in preventing or lessening fibrosis in patients who have undergone radiation therapy for cancer.","DISEASE CHARACTERISTICS:

* Regional post-radiation fibrosis of a specific body area (e.g., neck, back, or extremities)

  * At least moderate impairment in at least 1 of the following principal functional abilities:

    * Range of motion
    * Strength
    * Edema
    * Swallowing
* Prior radiation for cancer received more than 6 months ago
* No evidence of recurrent or metastatic cancer
* No history of collagen vascular disease
* No positive antinuclear antibody

PATIENT CHARACTERISTICS:

Age:

* 18 and over

Performance status:

* ECOG 0-2

Life expectancy:

* Not specified

Hematopoietic:

* Not specified

Hepatic:

* Hepatitis B and C negative

Renal:

* Not specified

Other:

* HIV negative
* No evidence of second primary cancer
* No life-threatening situation requiring rehabilitation intervention
* Not pregnant or nursing
* Negative pregnancy test
* Fertile patients must use effective contraception

PRIOR CONCURRENT THERAPY:

Biologic therapy:

* No concurrent anticancer immunotherapy

Chemotherapy:

* No concurrent anticancer chemotherapy

Endocrine therapy:

* No concurrent anticancer hormonal therapy

Radiotherapy:

* See Disease Characteristics
* No concurrent anticancer radiotherapy

Surgery:

* Not specified

Other:

* No other concurrent anticancer investigational agents
* Stable doses of medicine (e.g., non-steroidal anti-inflammatory drugs) currently being taken are allowed",N/A
NCT04040231,Using a Targeted Cancer Vaccine (Galinpepimut-S) with Immunotherapy (Nivolumab) in Mesothelioma,"Mesothelioma, Pleural Mesothelioma, Wilms Tumor","Galinpepimut-S, Nivolumab, Sargramostim",INTERVENTIONAL,PHASE1,The purpose of this study is to test whether it is safe to give Galinpepimut-S and Nivolumab together in patients with mesothelioma.,"Inclusion Criteria:

* Age \>/= 18 years
* Karnofsky performance status \>/= 70%
* Pathologic diagnosis of malignant pleural mesothelioma at MSK
* Positive immunohistochemical staining for WT-1 within 60 days of treatment start
* Patients must have received at least one prior course of pemetrexed-based chemotherapy
* Patients of childbearing potential must have a negative serum pregnancy test within 24 hours of receiving the first treatment on the study (if female) and must be practicing an effective form of birth control for the entire duration of treatment (both females and males)
* Has received and progressed or are refractory to pemetrexed based chemotherapy
* Measurable or evaluable disease
* Biochemical parameters: Total bilirubin \< 1.5 mg/dl, AST and ALT \< 3.0 x upper limits of normal, Creatinine \< 1.5 x upper limits of normal

Exclusion Criteria:

* Pregnant or lactating women
* Prior receipt of checkpoint inhibition
* Patients with known active hepatitis B or known active hepatitis C virus
* Patients with a serious unstable medical illness or another active cancer
* Patients with known history of testing positive for human immunodeficiency virus (HIV) or known acquired immunodeficiency syndrome (AIDS)
* Autoimmune disease requiring treatment with systemic steroids in the past 2 years
* Current use of systemic corticosteroids at doses greater than prednisone 10 mg daily or the equivalent
* Patients with active pneumonitis
* Hematologic parameters: Absolute neutrophil count \>/= 1000/mcL
* Platelet count \<100,000",10
NCT06202131,Prospective Single-center Study About the Use of ctDNA in the Management of Patients With Tumors of the Gastrointestinal Tract,"Pancreas Cancer, Colon Cancer, Biliary Tract Cancer",N/A,OBSERVATIONAL,N/A,This study will evaluate the use of ctDNA in the clinical management of patients with tumors of the gastrointestinal tract.,"Inclusion Criteria:

* Age \>18 years
* PS ECOG \<2;
* Histological diagnosis of gastrointestinal cancer: esophageal, gastric, intestinal, pancreatic, biliary tract neoplasms;
* Radiological evidence of resectable/locally advanced/metastatic disease on the date of signing the written informed consent;
* Adequate organ and function;
* Availability of tumor histological material.

Exclusion Criteria:

* No histological diagnosis of neoplasia of the gastrointestinal tract.
* No written informed consent.",100
