Trial ID,Title,Condition,Intervention,Study Type,Phase,Summary,Eligibility,Enrollment,Cleaned_Summary
NCT03411473,Study of AGEN1884 With Pembrolizumab in 1L NSCLC,NSCLC Stage IV,AGEN1884 in combination with pembrolizumab,INTERVENTIONAL,PHASE2,"A Phase IIa Open-Label Trial to Investigate the Safety, Tolerability, Pharmacokinetics, Biological, and Clinical Activity of AGEN1884 in Combination with Pembrolizumab in Subjects with Chemotherapy Naïve, PD-L1 high, metastatic Non-Small Cell Lung Cancer (NSCLC)","Inclusion Criteria:

1. Voluntarily agree to participate.
2. Be ≥18 years of age.
3. Have a histologically or cytologically confirmed diagnosis of NSCLC, is stage IV, does not have an EGFR sensitizing (activating) mutation or ALK translocation, and has not received prior systemic chemotherapy treatment for their metastatic NSCLC.
4. Have measurable disease based on RECIST 1.1 as determined by the site.
5. Have a life expectancy of at least 3 months and a performance status of 0 or 1 on the Eastern Cooperative Oncology Group (ECOG) Performance Status
6. Have adequate organ function as indicated by the following laboratory values:

   1. Adequate hematological function defined by absolute neutrophil count (ANC) \> 1.5 x 109/L, platelet count \> 100 x 109/L, and hemoglobin \> 9 g/dL (without transfusions within 2 weeks of first dose).
   2. Adequate hepatic function based by a total bilirubin level \< the institutional upper limit of normal (IULN), aspartate aminotransferase (AST) level \< 1.5 x IULN, alanine aminotransferase (ALT) level \< 1.5 x IULN, and alkaline phosphatase ≤ 2.5 ULN.
   3. Adequate renal function defined as Creatinine ≤ 1.5 x IULN OR calculated creatinine clearance \> 60 mL/min for subjects with creatinine levels \> 1.5 x IULN (If no local guideline is available, creatinine clearance should be calculated using the Cockcroft-Gault Method).
   4. Adequate coagulation defined by international normalized ratio (INR) or prothrombin time ≤ 1.5 x IULN (unless the subject is receiving anticoagulant therapy); and activated partial thromboplastin time (aPTT) ≤ 1.5 x IULN (unless the subject is receiving anticoagulant therapy)
   5. Adequate endocrine function defined by thyroid stimulating hormone (TSH) within normal limits. Note: if TSH is not within normal limits at baseline, the subject may still be eligible if T3 and free T4 are within normal limits.
7. Subject has no history of prior malignancy, with the exception of basal cell carcinoma of the skin, superficial bladder cancer, squamous cell carcinoma of the skin, in situ cervical cancer, or has undergone potentially curative therapy with no evidence of that disease recurrence for 5 years since initiation of that therapy.
8. Have provided a formalin fixed tumor tissue sample from a biopsy of a tumor lesion either at the time of or after the diagnosis of metastatic disease has been made AND from a site not previously irradiated to assess for PD-L1 status.
9. The subject's tumor does not harbor an EGFR sensitizing (activating) mutation or ALK translocation.
10. The subject's tumor must have high PD-L1 expression (TPS ≥50%) as determined by an FDA-approved test.
11. Female subjects must have a negative serum pregnancy test at screening (within 72 hours of first dose of study medication) if of childbearing potential or be of non-child bearing potential.
12. If of childbearing potential, female subjects must be willing to use two adequate barrier methods throughout the study, starting with the screening visit through 120 days after the last dose of study therapy.
13. Male subjects with a female partner(s) of child-bearing potential must agree to use two adequate barrier methods throughout the trial starting with the screening visit through 120 days after the last dose of pembrolizumab is received. Males with pregnant partners must agree to use a condom; no additional method of contraception is required for the pregnant partner.
14. Subject is willing and able to comply with the requirements of the protocol.

Exclusion Criteria:

1. Has an EGFR sensitizing mutation and/or an ALK translocation.
2. Has received systemic therapy for the treatment of their stage IV NSCLC. Completion of treatment with chemotherapy and/or radiation as part of neoadjuvant/adjuvant therapy is allowed as long as therapy was completed at least 6 months prior to the diagnosis of metastatic disease.
3. Is currently participating and receiving study therapy or has participated in a study of an investigational agent and received study therapy or used an investigation device within 4 weeks of the first dose of treatment.
4. Is receiving systemic steroid therapy \< 3 days prior to the first dose of trial treatment or receiving any other form of immunosuppressive medication.
5. Is expected to require any other form of systemic or localized antineoplastic therapy while on trial (including maintenance therapy with another agent for NSCLC, radiation therapy, and/or surgical resection)
6. Has received prior systemic cytotoxic chemotherapy, biological therapy, OR major surgery within 3 weeks of the first dose of trial treatment; received thoracic radiation therapy of \> 30 Gy within 6 months of the first dose of trial treatment.
7. Has received prior therapy with an anti-PD-1, anti-PD-L1, anti-PD-L2, anti-CD137, or anti-Cytotoxic T-lymphocyte-associated antigen-4 (CTLA-4) antibody (including ipilimumab or any other antibody or drug specifically targeting T-cell co-stimulation or checkpoint pathways).
8. Has central nervous system (CNS) metastases and/or carcinomatous meningitis identified either on the baseline brain imaging obtained during the screening period OR identified prior to signing the ICF.
9. Active autoimmune disease that has required systemic treatment in past 2 years (i.e. with use of disease modifying agents, corticosteroids or immunosuppressive drugs). Replacement therapy (i.e., thyroxine, insulin, or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency, etc.) is not considered a form of systemic treatment.
10. Has had an allogeneic tissue/solid organ transplant.
11. Has interstitial lung disease (ILD) OR has had a history of pneumonitis that has required oral or IV steroids.
12. Has received or will receive a live vaccine within 30 days prior to the first administration of study medication. Seasonal flu vaccines that do not contain a live virus are permitted
13. Has an active infection requiring intravenous systemic therapy.
14. Has known history of Human Immunodeficiency Virus (HIV) (HIV 1/2 antibodies).
15. Has known active Hepatitis B, Hepatitis C or tuberculosis.
16. Has clinically significant (i.e., active) cardiovascular disease: cerebral vascular accident/stroke or myocardial infarction within 6 months of enrollment, unstable angina, congestive heart failure (New York Heart Association class ≥II), or serious uncontrolled cardiac arrhythmia requiring medication.
17. Has a history or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the subject's participation for the full duration of the trial, or is not in the best interest of the subject to participate, in the opinion of the treating Investigator.
18. Has known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial.
19. Is, at the time of signing informed consent, a regular user (including ""recreational use"") of any illicit drugs or had a recent history (within the last year) of substance abuse (including alcohol).
20. Is pregnant or breastfeeding, or expecting to conceive or father children within the projected duration of the trial, starting with the screening visit (Visit 1) through 120 days after the last dose of pembrolizumab or AGEN1884.",2.0,phase iia openlabel trial investigate safety tolerability pharmacokinetics biological clinical activity agen1884 combination pembrolizumab subjects chemotherapy naïve pdl1 high metastatic nonsmall cell lung cancer nsclc
NCT02497573,Can DW MRI Predict Outcome During Radiotherapy for Head and Neck Cancer?,Head and Neck Cancer,Diffuse Weighted MRI,OBSERVATIONAL,,"Around 50% of patients with locally advanced H\&N cancer fail to achieve loco-regional control. Currently it cannot be predicted, during treatment, who will fall into this group of non-responders.

This study is designed to assess the value of DW MRI as a predictive biomarker of response to radiotherapy in intermediate and high risk OPSCC.","Inclusion Criteria:

* Histologically confirmed HPV negative SCC oropharynx or patients with HPV positive SCC oropharynx and a significant smoking history
* Stage III or Iva or IVb disease
* Scheduled to undergo radical radiotherapy or chemo radiotherapy as primary treatment
* 18 years of age or older
* Able to give written informed consent
* Patients willing and able to comply with the protocol for the duration of the study

HPV status: As defined by the Scottish HPV reference laboratory, multiplex assay on Luminex technology Significant smoking history definition: greater than 10 pack years

Exclusion Criteria:

* Head and neck cancers from sub sites other than oropharynx
* HPV+OPSCC in patients with no significant smoking history (low risk OPSCC)
* Patients receiving cetuximab-radiotherapy
* Confirmed distal metastatic disease (stage IVc)
* Patients who have undergone primary surgery for SCC H\&N, neck dissection alone permitted
* Patients who have received induction chemotherapy prior to definitive treatment
* Patients with contra-indications to MRI scanning

Contra-indications to MRI:

As per standard diagnostic imaging protocol - cardiac pacemaker, surgery within 8 weeks, aneurysm clipped/treated, metal fragments in eye, previous cranial surgery, any metal in the body.",80.0,around 50 patients locally advanced hn cancer fail achieve locoregional control currently predicted treatment fall group nonresponders study designed assess value dw mri predictive biomarker response radiotherapy intermediate high risk opscc
NCT05484973,Study to Assess the Ability of the Portable Scalp Cooling System (PSCS) to Prevent Hair Loss,"Alopecia, Chemotherapy-induced Alopecia, Hair Loss, Breast Cancer",AMMA Portalbe Scalp Cooling System,INTERVENTIONAL,,"The purpose of this prospective study is to assess the ability of AMMA to prevent hair loss in women receiving chemotherapy (CT) for early-stage breast cancer. Additionally, the purpose is also to assess the safety, tolerability and compliance, quality of life, and satisfaction with hair preservation after CT treatment.","Inclusion Criteria:

1. Female patients ≥ 21 years of age
2. Documented diagnosis of breast cancer, stage I, II, or III
3. A planned taxane-containing CT regimen in the adjuvant or neoadjuvant setting with curative intent
4. Concomitant agents may include trastuzumab, pertuzumab, or other CT agents such as cyclophosphamide, or carboplatin Note: Targeted and/or hormonal therapies intended for use after completion of the taxane-containing CT regimen will not be considered part of the study treatment period, and the AMMA PSCS will not be used during the post-CT targeted and/or hormonal therapy period
5. Plan to complete the current CT regimen within six months
6. At least two years out from the last CT causing hair loss with complete recovery of hair
7. Karnofsky17 performance status 80% or greater
8. Willing and able to sign informed consent for this study
9. Willing and able to complete all required study procedures

Exclusion Criteria:

1. Patients with female pattern baldness resembling picture I-3 or higher on the Savin scale
2. Autoimmune disease affecting hair; e.g. alopecia areata, systemic lupus with associated hair loss, others
3. A history of whole brain radiation
4. Plans to use a CT regimen other than those specified in the inclusion criteria; specifically, a regimen not including paclitaxel or docetaxel or a regimen including an anthracycline (AC/T, EC/T, TAC, etc.)
5. Hormone therapy concurrent with CT. Hormone therapy after CT is permitted
6. Current and/or prior use of hair growth products, such as Nutrafol, minoxidil, and Keranique
7. A serious concurrent infection or medical illness which would jeopardize the ability of the patient to complete the planned therapy and follow-up
8. History of persistent grade 2 (or higher) alopecia induced by prior chemotherapeutic regimens
9. History of and/or current exposure to other agents, drugs, device, or procedure that may cause hair loss
10. Cold sensitivity
11. Intercurrent life-threatening malignancy
12. Evidence of untreated or poorly controlled hyperthyroidism or hypothyroidism
13. History or current diagnosis of any of the following: Cold agglutinin disease, cryoglobulinemia, or cryofibrinogenemia
14. Concurrent hematologic malignancy
15. Participation in any other clinical investigation
16. Concurrent treatment with any investigational agent
17. Any reason the investigator does not believe the patient is a good candidate for the study",99.0,purpose prospective study assess ability amma prevent hair loss women receiving chemotherapy ct earlystage breast cancer additionally purpose also assess safety tolerability compliance quality life satisfaction hair preservation ct treatment
NCT03176173,Radical-Dose Image Guided Radiation Therapy in Treating Patients With Metastatic Non-small Cell Lung Cancer Undergoing Immunotherapy,Stage IV Non-Small Cell Lung Cancer,"Image-guided Radiation Therapy, Immunotherapy (physician's choice for standard of care immunotherapy)",INTERVENTIONAL,,This phase II trial studies how well radical-dose image guided radiation therapy works in treating patients with non-small cell lung cancer that has spread to other places in the body who are undergoing immunotherapy. Radiation therapy uses high energy x-rays to kill tumor cells and shrink tumors. Giving radical-dose image guided radiation therapy to patients with non-small cell lung cancer may help to improve response to immunotherapy anti-cancer treatment.,"Inclusion Criteria:

1. Has stage IV non-small cell lung cancer, or initially stage I-III disease with distant metastatic recurrence
2. Age ≥ 18
3. Has been receiving anti-PD-1 or anti-PD-L1 immunotherapy for at least four weeks (refer to section 4.2.1)
4. Has had restaging imaging after initiation of immunotherapy, at least 4 weeks after pre-immunotherapy baseline imaging. CT or PET/CT of at least chest/upper abdomen must be performed within 4 weeks prior to registration. For patients with history of brain metastases, brain MRI or CT is required within 4 weeks of registration; for other patients brain MRI or CT is required within 12 weeks of registration. Diagnostic PET/CT performed as part of radiation simulation can be used as the restaging imaging.
5. Most recent imaging shows measurable disease as defined by RECIST 1.1
6. Evaluation by a Stanford medical oncologist must show:

   1. The patient is expected to continue on immunotherapy for at least three more months
   2. Imaging must show response, stable disease, or modest progression
   3. If there is modest progression, the patient must be clinically stable in terms of performance status and overall disease-related symptoms
7. Has at least one extracranial tumor safely treatable with radical-dose radiation therapy and that has not been previously treated with radiation
8. ECOG performance status 0-2
9. Has the ability to understand and the willingness to sign a written informed consent document.

Exclusion Criteria:

* Untreated brain metastases, if not planned to be treated in this course of radiation therapy
* Pregnancy or women of childbearing potential not willing/able to use contraception during protocol treatment",44.0,phase ii trial studies well radicaldose image guided radiation therapy works treating patients nonsmall cell lung cancer spread places body undergoing immunotherapy radiation therapy uses high energy xrays kill tumor cells shrink tumors giving radicaldose image guided radiation therapy patients nonsmall cell lung cancer may help improve response immunotherapy anticancer treatment
NCT06313073,Neoadjuvant Radiotherapy for Breast Cancer,"Neoadjuvant Radiotherapy, Breast Cancer","Neoadjuvant radiotherapy, adjuvant radiotherapy",INTERVENTIONAL,,"The goal of this clinical trial is to compare the effects of neoadjuvant radiotherapy and adjuvant radiotherapy in patients with breast cancer.

The main questions it aims to answer are:

* The clinical effect of neoadjuvant radiotherapy for breast cancer was determined according to the postoperative specimens.
* Evaluate the acute and late toxicity of preoperative radiotherapy Participants will be randomly divided into two groups: the neoadjuvant radiotherapy group and the adjuvant radiotherapy group.","Inclusion Criteria:

* Female;
* Age range from 18 to 70 years old;
* The pathological diagnosis is invasive cancer, and immunohistochemical examination has been performed to confirm the status of ER, PR, HER2, Ki67, etc;
* Clarify the BRCA gene mutation status;
* Patients who have a baseline stage of T1-3N0-3M0 and meet one of the following conditions and require neoadjuvant therapy: ① mass\>5cm; ② Axillary lymph node metastasis; ③ HER-2 positive; ④ Three Yin type; ⑤ Those who have a desire to preserve breast, but have a large ratio of tumor size to breast volume, making it difficult to preserve breast;
* Baseline estimation requires adjuvant radiotherapy, which meets one of the following conditions: ① performing breast conserving surgery; ② T3 or N positive patients after mastectomy and axillary dissection; ③ After mastectomy, sentinel lymph nodes were positive and axillary dissection was not performed;
* KPS score ≥ 80;
* The tumor must be visible in CT scan;
* Patients must undergo magnetic resonance imaging to help determine the contour of the tumor and exclude other lesions. If other lesions are found, biopsy must be performed on these lesions and the result is negative before continuing treatment;
* No history of serious internal medicine diseases or other serious comorbidities, such as a history of mental illness, allergies, etc;
* Sign an informed consent form.

Exclusion Criteria:

* Clinical or pathological stage T4 or M1 breast cancer;
* Received preoperative neoadjuvant therapy;
* Pathological confirmation shows that there is no invasive cancer component in DCIS;
* Double breast cancer or previous contralateral breast cancer;
* Imaging examination suggests suspicious malignant lesions in the ipsilateral or contralateral breast, which have not been pathologically confirmed to be benign;
* KPS score ≤ 70;
* There is active infection currently;
* Concomitant with severe heart, liver, kidney, hematopoietic and neurological diseases, psychiatric patients, or estimated survival time\<6 months;
* History of malignant tumors in other areas, excluding curable non melanoma skin cancer and cervical cancer in situ;
* History of radiation therapy at the site of previous radiation therapy;
* Pregnancy and lactation period;
* Those with poor compliance or life-threatening conditions who cannot complete treatment.",60.0,goal clinical trial compare effects neoadjuvant radiotherapy adjuvant radiotherapy patients breast cancer main questions aims answer   clinical effect neoadjuvant radiotherapy breast cancer determined according postoperative specimens   evaluate acute late toxicity preoperative radiotherapy participants randomly divided two groups neoadjuvant radiotherapy group adjuvant radiotherapy group
NCT02688673,DC Vaccine Combined With CIK Cells in Patients With SCLC,Small- Cell Lung Cancer,adenovirus-transfected autologous DC vaccine plus CIK cells,INTERVENTIONAL,"PHASE1, PHASE2","The aim of this study is to evaluate the safety and efficacy of dendritic cells (DC) combined with cytokine-induced killer (CIK) cells treatment patients with Extensive-Stage Small-Cell Lung Cancer. Experimental adopted recombinant adenovirus-code MUC1 and Survivin transfected DC, which are used for DC-based immunotherapy. Based on the results of our previously preclinical research with DC combined with CIK cells, the investigators plan to perform the clinical trial.","Inclusion Criteria:

* Histopathologically confirmed diagnosis of Small- Cell Lung Cancer
* Age \>18 years at time of consent
* Received standardized treatment of Small-Cell Lung Cancer
* Interval between the last standardized treatment and DC/CIK treatment ≥ 4weeks
* KPS (Karnofsky performance scale) \>60
* Patient's written informed consent
* No severe viral or bacterial infections
* Predicted survival \>3 months

Exclusion Criteria:

* Clinically relevant diseases or infections (HBV, HCV, HIV)
* Females who are pregnant or nursing
* Immunosuppressant treatment
* Currently participating in another clinical trial
* Unfit for participating in this clinical trial in investigators' opinions",30.0,aim study evaluate safety efficacy dendritic cells dc combined cytokineinduced killer cik cells treatment patients extensivestage smallcell lung cancer experimental adopted recombinant adenoviruscode muc1 survivin transfected dc used dcbased immunotherapy based results previously preclinical research dc combined cik cells investigators plan perform clinical trial
NCT03061773,Physical Training on Patients With Breast Cancer,Breast Cancer Female,"Exercise, Conventional hospital treatment",INTERVENTIONAL,,"The treatment of breast cancer at any given time can be through surgery, as well as adjuvant treatments (radiotherapy, chemotherapy and hormone therapy) alone or together. And with this the patient tends to lose weight, he becomes depressed, resulting in an increasingly debilitating picture. Therefore, the present study aims to investigate the relationship between physical exercise and its effects on quality of life in patients with breast cancer, those who underwent surgery for at least 6 months, patients who are still with the Tumor using the adjuvant treatments submitted to physical exercises and not submitted. The sample will consist of 25 to 50 female patients aged 18 to 75 years. Patients will be submitted to the initial quality of life evaluation (SF - 36 reduced version, Anxiety and depression (HAD Scale), Fatigue (Piper Fatigue Scale), Pain (Brief Inventory of Pain), Body Composition (Bioimpedance BYODINAMICS 450 ) And oxidative stress markers (oxidized and reduced glutathione, TBARS / MDA, Myeloperoxidase and Creatinine), inflammatory markers (IL1, IL6, IL8, IL10, MCP-1 and TNF-α), hormones Estrogen, progesterone), blood test (complete blood count) 24 hour food recall (24hs food recall), and perform the maximum repetition test to find the initial workload that will be adjusted every 4 weeks with the evaluation of the load and Completing the 12 weeks of training will be reevaluated following the initial evaluation. The data collected will be treated statistically with an α=5% using the software Stata 12.0.","Inclusion Criteria:

* Breast cancer patients;
* Sedentary;
* Currently at treatment and clinical follow-up.

Exclusion Criteria:

* Musculoskeletal injuries or disorders;
* Mental illnesses;
* Enrolled in other exercise program.",2.0,treatment breast cancer given time surgery well adjuvant treatments radiotherapy chemotherapy hormone therapy alone together patient tends lose weight becomes depressed resulting increasingly debilitating picture therefore present study aims investigate relationship physical exercise effects quality life patients breast cancer underwent surgery least 6 months patients still tumor using adjuvant treatments submitted physical exercises submitted sample consist 25 50 female patients aged 18 75 years patients submitted initial quality life evaluation sf   36 reduced version anxiety depression scale fatigue piper fatigue scale pain brief inventory pain body composition bioimpedance byodinamics 450   oxidative stress markers oxidized reduced glutathione tbars   mda myeloperoxidase creatinine inflammatory markers il1 il6 il8 il10 mcp1 tnfα hormones estrogen progesterone blood test complete blood count 24 hour food recall 24hs food recall perform maximum repetition test find initial workload adjusted every 4 weeks evaluation load completing 12 weeks training reevaluated following initial evaluation data collected treated statistically α5 using software stata 120
NCT01973673,Healthy Bones Study,Locally Advanced Malignant Neoplasm,Bone health educational materials,INTERVENTIONAL,,"Prostate cancer patients receiving hormone treatment (androgen deprivation therapy, or ADT) are at increased risk of developing bone loss and osteoporosis as side effects. To prevent this, guidelines recommend participation in healthy bone behaviours including weight-bearing exercise and adequate calcium/vitamin D intake. However, prior studies have shown that patients are not regularly screened or counselled regarding healthy bone behaviours while receiving ADT. Maintaining bone health in prostate cancer patients is important because men on ADT are at increased risk of fractures. In this study, the investigators will examine whether an intervention designed to improve healthy bone behaviours among prostate cancer patients on ADT can be implemented. The intervention consists of a written ""healthy bones prescription"", brief verbal counseling, and printed educational materials for participants. Investigators hope to obtain an initial estimate of whether the intervention works. They also hope to show that this simple intervention can be implemented in a real, working cancer clinic.

The investigators hypothesize that an intervention to improve bone health in prostate cancer patients receiving ADT (healthy bones prescription, verbal counseling, and printed educational materials) is effective, implementable, and accepted by clinicians and patients.","Inclusion Criteria:

Prostate cancer patients receiving ADT at study entry (for a maximum of 12 months prior to study entry or planning to receive ADT within 3 weeks of study entry), for an expected duration of \>6 months; Eastern Cooperative Oncology Group (ECOG) performance status \<3

Exclusion Criteria: Unable to exercise (e.g. major physical disability, severe osteoarthritis, or other severe comorbidity); severe cardiac disease (congestive heart failure with New York Heart Association (NYHA) class \>2, angioplasty/coronary artery bypass surgery within 3 months of study entry); patients with bone endocrinopathy (parathyroid disorders, osteomalacia); stage IV-V chronic kidney disease (estimated glomerular filtration rate \[eGFR\] \<30 mL/min/1.75 m2; prior serum creatinine not required for entry into study); allergy to components of calcium \& vitamin D tablets.",200.0,prostate cancer patients receiving hormone treatment androgen deprivation therapy adt increased risk developing bone loss osteoporosis side effects prevent guidelines recommend participation healthy bone behaviours including weightbearing exercise adequate calciumvitamin intake however prior studies shown patients regularly screened counselled regarding healthy bone behaviours receiving adt maintaining bone health prostate cancer patients important men adt increased risk fractures study investigators examine whether intervention designed improve healthy bone behaviours among prostate cancer patients adt implemented intervention consists written healthy bones prescription brief verbal counseling printed educational materials participants investigators hope obtain initial estimate whether intervention works also hope show simple intervention implemented real working cancer clinic investigators hypothesize intervention improve bone health prostate cancer patients receiving adt healthy bones prescription verbal counseling printed educational materials effective implementable accepted clinicians patients
NCT03996473,Study to Test the Safety and How Radium-223 Dichloride an Alpha Particle-emitting Radioactive Agent Works in Combination With Pembrolizumab an Immune Checkpoint Inhibitor in Patients With Stage IV Non-small Cell Lung Cancer With Bone Metastases,"Carcinoma, Non-Small-Cell Lung","Radium-223 dichloride (Xofigo, BAY 88-8223), Pembrolizumab",INTERVENTIONAL,PHASE1,The purpose of the study was to determine the safety and test the efficacy of the combination of radium-223 dichloride and pembrolizumab in patients with stage IV non-small cell lung cancer (NSCLC) with bone metastases who either had not received any systemic therapy for their advanced disease or had progressed on prior immunologic checkpoint blockade with antibodies against the programmed cell death protein-(ligand) 1 (PD-1/PD-L1). In this study researchers wanted to measure tumor shrinkage in response to treatment and how long that shrinkage lasted and gathered information on safety. Pembrolizumab is an immunologic checkpoint blocker that promotes an immune response against the tumor. Radium-223 dichloride is an alpha particle-emitting radioactive agent which kills cancer cells.,"Inclusion Criteria:

* Histologically or cytologically confirmed diagnosis of stage IV NSCLC.

  * Phase 2 Cohort 1: No Epidermal Growth Factor Receptor (EGFR) / v-Raf murine sarcoma viral oncogene homolog B (BRAF) mutation or anaplastic lymphoma kinase (ALK)/ROS1 rearrangement. Treatment naïve (no prior systemic therapy) for their metastatic NSCLC.
  * Phase 2 Cohort 2: progression on prior treatment with an immune checkpoint inhibitor inhibitor. Prior treatment with platinum-based chemotherapy in combination or in sequence in line with local standard of care.
  * Phase 1 includes participants meeting either Cohort 1 or Cohort 2 criteria.
* Measurable disease per RECIST v1.1.
* At least 2 skeletal metastases.
* Eastern Cooperative Oncology Group (ECOG) Performance Status (PS) of 0 or 1.
* Adequate bone marrow and organ function.
* Participants must be on a bone health agent (BHA) treatment, such as bisphosphonates or denosumab treatment unless such treatment is contraindicated or not recommended per investigator's judgement.

Exclusion Criteria:

* Previous or concurrent cancer within 3 years prior to enrollment.
* Has received prior therapy with an anti-PD-1, anti-PD-L1, or anti-PD-L2 agent or with an agent directed to another stimulatory or co-inhibitory T-cell receptor. Phase 2 Cohort 2: was discontinued from that treatment due to a Grade 3 or higher immune-related AEs (irAEs).
* Known active central nervous system metastases and/or carcinomatous meningitis. Participants with previously treated brain metastases may participate provided they are radiologically stable, clinically stable, and without requirement of steroid treatment for at least 14 days prior to first dose of study treatment.
* Active autoimmune disease that has required systemic treatment in the past 2 years.
* History of (non-infectious) pneumonitis that required steroids or has current pneumonitis.
* Known history or presence of osteonecrosis of jaw.
* Ongoing infection \>Grade 2 NCI-CTCAE v.5.0 requiring systemic therapy.
* Significant acute GI disorders with diarrhea as a major symptom e.g., Crohn's disease, malabsorption, or ≥ NCI-CTCAE v.5.0 Grade 2 diarrhea of any etiology.
* History of osteoporotic fracture.
* Prior treatment with radium-223 dichloride or any therapeutic radiopharmaceutical.
* Prior radiotherapy within 21 days of planned start of study treatment.",8.0,purpose study determine safety test efficacy combination radium223 dichloride pembrolizumab patients stage iv nonsmall cell lung cancer nsclc bone metastases either received systemic therapy advanced disease progressed prior immunologic checkpoint blockade antibodies programmed cell death proteinligand 1 pd1pdl1 study researchers wanted measure tumor shrinkage response treatment long shrinkage lasted gathered information safety pembrolizumab immunologic checkpoint blocker promotes immune response tumor radium223 dichloride alpha particleemitting radioactive agent kills cancer cells
NCT01978873,Efficacy Study Evaluating Chemotherapy in Prostate Cancer,Prostate Cancer,"Cabazitaxel + Androgen deprivation therapy, Androgen deprivation therapy",INTERVENTIONAL,PHASE3,"This clinical trial is designed on the basis of an unmet clinical need, as well as other factors including: 1) the ability to identify subjects at high risk of dying early from their disease, 2) the fact that hormonal therapy has already been shown to improve survival when applied early in the natural history, 3) the availability of chemotherapy such as cabazitaxel that can improve survival in subjects with advanced disease and 4) that chemotherapy (docetaxel) given concomitant with hormone treatment has proven to prolong time to progression.

It is the investigators hypothesis that a more appropriate group of patients who may benefit from the curative potential of systemic chemo-hormonal modality is that with minimal, but detectable disease who have a high probability of developing metastatic disease, clinical symptoms and eventually death from prostate cancer in a defined time frame. The investigators hypothesize further that the approach is likely to be more effective at a time of minimal tumour burden, resulting in minimization of the overall burden of therapy and better quality of life while on treatment.

This trial will determine whether any benefit is gained by adding chemotherapy before hormonal therapy to hormonal therapy alone in the population of subjects with metastatic or high risk disease.","Inclusion Criteria:

* Histological or cytological confirmed prostate adenocarcinoma Metastatic PC (Prostate cancer) with measurable or evaluable disease or High risk PC (PSA \> 100) or Node positive disease (N+)
* No prior treatment for prostate cancer (including bisfosfonate)
* Age above 18 years
* ECOG 0- 2
* Estimated survival \> 3 months
* WBC 2000 / mm 3, neutrophils ≥1500 / mm 3, platelets 100,000 / mm 3
* Satisfactory liver function: bilirubin, transaminases ≤ 1.5 times the upper limit of normal.
* Satisfactory renal function. Serum creatinine \<1.5 x ULN (150 mmol/l). If creatinine 1.0 - 1.5 x ULN, creatinine clearance will be calculated according to CKD-EPI formula and patients with creatinine clearance \>60 mL/min are accepted in the study. https://www.qxmd.com/calculate-online/nephrology/ckd-epi-egfr
* Patient information and signature of informed consent

Exclusion Criteria:

* Cardiovascular disease (severe symptomatic coronary artery disease, congenital heart failure, class 3 and 4 of the NYHA)
* Severe peripheral neuropathy
* Active infection or other serious underlying pathology that could prevent patients from receiving treatment
* History of cancer within 5 years before inclusion in the study other than basal cell or squamous cell skin cancer adequately treated
* Brain metastases, uncontrolled symptomatic or asymptomatic
* Patient participating in another clinical trial protocol with a molecule during this experimental study or treated four weeks prior to randomization.
* Concurrent or planned treatment with potent inhibitors or inducers of cytochrome P450 3A4/5 (a one week wash-out period is necessary for patients who are already on these treatments) (see Appendix A and B)
* Systemic treatment with high dose steroids
* Any severe acute or chronic medical condition which would impair the ability of the patient to participate to the study or interfere with interpretation of study results, or patient unable to comply with the study procedures.
* History of severe hypersensitivity reaction (≥grade 3) to polysorbate 80 containing drugs",400.0,clinical trial designed basis unmet clinical need well factors including 1 ability identify subjects high risk dying early disease 2 fact hormonal therapy already shown improve survival applied early natural history 3 availability chemotherapy cabazitaxel improve survival subjects advanced disease 4 chemotherapy docetaxel given concomitant hormone treatment proven prolong time progression investigators hypothesis appropriate group patients may benefit curative potential systemic chemohormonal modality minimal detectable disease high probability developing metastatic disease clinical symptoms eventually death prostate cancer defined time frame investigators hypothesize approach likely effective time minimal tumour burden resulting minimization overall burden therapy better quality life treatment trial determine whether benefit gained adding chemotherapy hormonal therapy hormonal therapy alone population subjects metastatic high risk disease
